Name,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing City,Billing Province,Billing Country,Shipping City,Shipping Province,Shipping Country,Notes,Note Attributes,Cancelled at,Payment Method,Refunded Amount,Vendor,Risk Level,Source,Duties,Billing Province Name,Shipping Province Name
#4087,paid,31/12/2023 22:36,fulfilled,02/01/2024 13:41,yes,CAD,,0,Express,31/12/2023 22:36,1,Rieker - L4655-35- Rouge - 40 / ROUGE,L4655.35 -0-0-0,true,true,fulfilled,Saint-Jean-sur-Richelieu,QC,CA,Saint-Jean-sur-Richelieu,QC,CA,,,,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4086,paid,31/12/2023 16:25,unfulfilled,,yes,CAD,,0,Standard,31/12/2023 16:25,1,Rieker - Z4243-36- Bordeaux - 41 / BORDEAUX,Z4243.36 -0-0-0,true,true,pending,Lavaltrie,QC,CA,Lavaltrie,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4085,paid,31/12/2023 15:33,unfulfilled,,yes,CAD,,0,Standard,31/12/2023 15:33,1,Rieker - Y3401-14- Bleu - 38 / BLEU,Y3401.14 -0-0-0,true,true,pending,Gatineau,QC,CA,Gatineau,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4084,paid,31/12/2023 13:58,unfulfilled,,yes,CAD,,0,Standard,31/12/2023 13:58,1,Remonte - D4372-12- Bleu - 39 / BLEU,D4372.12 -0-0-0,true,true,pending,Vaudreuil-Dorion,QC,CA,Vaudreuil-Dorion,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4083,paid,31/12/2023 13:33,unfulfilled,,yes,CAD,,0,Standard,31/12/2023 13:33,1,Rieker - U0170-00- Noir - 44 / NOIR,U0170.00 -0-0-0,true,true,pending,Lac des plages,QC,CA,Lac des plages,QC,CA,,"lang: fr
Invoice Language: fr",,PayPal Express Checkout,0,RIEKER,Low,web,,Quebec,Quebec
#4083,,,,,,,,,,31/12/2023 13:33,1,Rieker - X9084-00- Noir - 37 / NOIR,X9084.00 -0-0-0,true,true,pending,,,,,,,,,,,,RIEKER,,,,,
#4082,paid,31/12/2023 12:55,unfulfilled,,yes,CAD,,0,Standard,31/12/2023 12:55,1,Olang - SOUND NERO- Noir - 37 / NOIR,SOUND NERO -0-0-0,true,true,pending,Salaberry-de-Valleyfield,QC,CA,Salaberry-de-Valleyfield,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,OLANG CANADA,Low,web,,Quebec,Quebec
#4081,paid,31/12/2023 04:01,unfulfilled,,yes,CAD,,0,Standard,31/12/2023 04:01,1,Rieker - Y9105-14- Bleu - 41 / BLEU,Y9105.14 -0-0-0,true,true,pending,Laval,QC,CA,Laval,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4080,paid,30/12/2023 14:50,fulfilled,30/12/2023 15:08,no,CAD,,0,Pick up,30/12/2023 14:50,1,Rieker - Z4230-54- Olive - 41 / OLIVE,Z4230.54 -0-0-0,true,true,fulfilled,Calgary,AB,CA,,,,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Medium,web,,Alberta,
#4079,paid,30/12/2023 14:29,unfulfilled,,yes,CAD,,0,Standard,30/12/2023 14:29,1,Remonte - R5076-02- Noir - 42 / NOIR,R5076.02 -0-0-0,true,true,pending,St-François-du-Lac,QC,CA,St-François-du-Lac,QC,CA,,"lang: fr
Invoice Language: fr",,PayPal Express Checkout,0,RIEKER,Low,web,,Quebec,Quebec
#4078,paid,30/12/2023 11:28,fulfilled,02/01/2024 13:29,yes,CAD,,0,Standard,30/12/2023 11:28,1,Rieker - F5484-00- Noir - 42 / NOIR,F5484.00 -0-0-0,true,true,fulfilled,Val-d'Or,QC,CA,Val-d'Or,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4077,paid,29/12/2023 22:31,unfulfilled,,yes,CAD,,0,Express,29/12/2023 22:31,1,Rieker - Y6700-22- Brun - 37 / BRUN,Y6700.22 -0-0-0,true,true,pending,Etang- du - nord,QC,CA,Etang- du - nord,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4076,paid,29/12/2023 16:05,unfulfilled,,no,CAD,,0,Standard,29/12/2023 16:05,1,Olang - GLAMOUR NERO- Noir - 39 / NOIR,GLAMOUR NERO -0-0-0,true,true,pending,Saint-Agapit,QC,CA,Saint-Apollinaire,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,OLANG CANADA,Low,web,,Quebec,Quebec
#4075,paid,29/12/2023 15:07,unfulfilled,,yes,CAD,,0,Standard,29/12/2023 15:07,1,Remonte - D1B74-45- Gris - 39 / GRIS,D1B74.45 -0-0-0,true,true,pending,Québec,QC,CA,Québec,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4074,paid,29/12/2023 10:57,fulfilled,31/12/2023 13:51,yes,CAD,,0,Standard,29/12/2023 10:57,1,Rieker - 30721-45- Gris - 43 / GRIS,30721.45 -0-0-0,true,true,fulfilled,Beauharnois,QC,CA,Beauharnois,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4073,paid,28/12/2023 16:30,fulfilled,31/12/2023 13:44,yes,CAD,,0,Standard,28/12/2023 16:30,1,Remonte - D4871-01- Noir - 38 / NOIR,D4871.01 -0-0-0,true,true,fulfilled,St constant,QC,CA,St constant,QC,CA,,"lang: fr
Invoice Language: fr",,PayPal Express Checkout,0,RIEKER,Low,web,,Quebec,Quebec
#4072,paid,28/12/2023 12:30,unfulfilled,,yes,CAD,,0,Standard,28/12/2023 12:30,1,Remonte - D8475-01- Noir - 41 / NOIR,D8475.01 -0-0-0,true,true,pending,Laval,QC,CA,Laval,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,0,RIEKER,Low,web,,Quebec,Quebec
#4071,refunded,28/12/2023 07:39,unfulfilled,,yes,CAD,,0,Standard,28/12/2023 07:39,1,Rieker - V6216-00- Noir - 39 / NOIR,V6216.00 -0-0-0,true,true,pending,East Broughton,QC,CA,East Broughton,QC,CA,,"lang: fr
Invoice Language: fr",,Shopify Payments,196.04,RIEKER,Low,web,,Quebec,Quebec
#4071,,,,,,,,,,28/12/2023 07:39,1,Rieker - 33200-24- Tan - 43 / TAN,33200.24 -0-0-0,true,true,pending,,,,,,,,,,,,RIEKER,,,,,
