Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Status
rieker-w0402-00-noir,Rieker - W0402-00- Noir,•Matière: cuir •Doublure:  synthétique •Semelle intérieure: Semelle amovible •Particularités: Lacets,RIEKER,,"","ATTR_DESC_SOULIER FEMME T1 LACE, ATTR_KEYWORD_NOIR, ATTR_PROMOTION, ATTR_SEASON_ETE, ATTR_SEASON_ETE 2023, DEPT_SOULIER FEMME, GRANDEUR_36, GRANDEUR_37, GRANDEUR_38, GRANDEUR_39, GRANDEUR_40, GRANDEUR_41, GRANDEUR_42, KEYWORD_NOIR, PROMO, SUBDEPT_T1 LACE, VENDOR_RIEKER",true,grandeur,36,KeyWord,NOIR,,,W0402.00 -0-0-0,0.0,shopify,1,deny,manual,112.00,140.00,true,true,'4849000260870,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/ca068661eb9f4ea98dc8975acc73ecc2.jpg?v=1700237843,1,,false,,,,,,,,,,,,,,,kg,,0.00,true,,,active
rieker-w0402-00-noir,,,,,,,,,37,,NOIR,,,W0402.00 -0-0-0,0.0,shopify,1,deny,manual,112.00,140.00,true,true,'4849000260887,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/263573a0d98b96751e97b52437cc2cf3.jpg?v=1700237843,2,,,,,,,,,,,,,,,,,kg,,0.00,,,,
rieker-w0402-00-noir,,,,,,,,,38,,NOIR,,,W0402.00 -0-0-0,0.0,shopify,2,deny,manual,112.00,140.00,true,true,'4849000260894,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/336c876557eac96a70faf1792ceab0b7.jpg?v=1700237843,3,,,,,,,,,,,,,,,,,kg,,0.00,,,,
rieker-w0402-00-noir,,,,,,,,,39,,NOIR,,,W0402.00 -0-0-0,0.0,shopify,2,deny,manual,112.00,140.00,true,true,'4849000260900,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/53a436990deb867851e9ea240ba1b2be.jpg?v=1700237843,4,,,,,,,,,,,,,,,,,kg,,0.00,,,,
rieker-w0402-00-noir,,,,,,,,,40,,NOIR,,,W0402.00 -0-0-0,0.0,shopify,1,deny,manual,112.00,140.00,true,true,'4849000260917,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/9c6cbe80c941b2354249a93c174de4c5.jpg?v=1700237843,5,,,,,,,,,,,,,,,,,kg,,0.00,,,,
rieker-w0402-00-noir,,,,,,,,,41,,NOIR,,,W0402.00 -0-0-0,0.0,shopify,1,deny,manual,112.00,140.00,true,true,'4849000260924,,,,,,,,,,,,,,,,,,,kg,,0.00,,,,
rieker-w0402-00-noir,,,,,,,,,42,,NOIR,,,W0402.00 -0-0-0,0.0,shopify,1,deny,manual,112.00,140.00,true,true,'4849000260931,,,,,,,,,,,,,,,,,,,kg,,0.00,,,,
rieker-70345-54-olive,Rieker - 70345-54- Olive,"Botte 
Matière : cuir et syntheètique 
Doublure : laine avec membrane RiekerTEX
 Particularités : fermeture zippée",RIEKER,,"","ATTR_DESC_SOULIER FEMME BOTTE, ATTR_KEYWORD_OLIVE, ATTR_PROMOTION, ATTR_SEASON_HIVER, ATTR_SEASON_HIVER 2023, DEPT_SOULIER FEMME, GRANDEUR_36, GRANDEUR_37, GRANDEUR_38, GRANDEUR_39, GRANDEUR_40, GRANDEUR_41, GRANDEUR_42, KEYWORD_OLIVE, SUBDEPT_BOTTE, VENDOR_RIEKER",true,grandeur,36,KeyWord,OLIVE,,,70345.54 -0-0-0,0.0,shopify,2,deny,manual,150.00,150.00,true,true,'4849000260801,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/2d26665fd1bd8b3a66d72776cc3657af.jpg?v=1699722991,1,,false,,,,,,,,,,,,,,,kg,,0.00,true,,,active
rieker-70345-54-olive,,,,,,,,,37,,OLIVE,,,70345.54 -0-0-0,0.0,shopify,2,deny,manual,150.00,150.00,true,true,'4849000260818,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/e003c0a55012d0e7261f84de72264404.jpg?v=1699722991,2,,,,,,,,,,,,,,,,,kg,,0.00,,,,
rieker-70345-54-olive,,,,,,,,,38,,OLIVE,,,70345.54 -0-0-0,0.0,shopify,4,deny,manual,150.00,150.00,true,true,'4849000260825,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/e93cd87c5cad09dbd873fe0f880a8146.jpg?v=1699722992,3,,,,,,,,,,,,,,,,,kg,,0.00,,,,
rieker-70345-54-olive,,,,,,,,,39,,OLIVE,,,70345.54 -0-0-0,0.0,shopify,4,deny,manual,150.00,150.00,true,true,'4849000260832,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/da414a4ff68177a711cc066a7db8f9a1.jpg?v=1699722992,4,,,,,,,,,,,,,,,,,kg,,0.00,,,,
rieker-70345-54-olive,,,,,,,,,40,,OLIVE,,,70345.54 -0-0-0,0.0,shopify,3,deny,manual,150.00,150.00,true,true,'4849000260849,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/c1ae8dd704c797db349af683fc83a7b9.jpg?v=1699722992,5,,,,,,,,,,,,,,,,,kg,,0.00,,,,
rieker-70345-54-olive,,,,,,,,,41,,OLIVE,,,70345.54 -0-0-0,0.0,shopify,2,deny,manual,150.00,150.00,true,true,'4849000260856,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/f0c9059cc0155c8b75777ec14eeb9593.jpg?v=1699722992,6,,,,,,,,,,,,,,,,,kg,,0.00,,,,
rieker-70345-54-olive,,,,,,,,,42,,OLIVE,,,70345.54 -0-0-0,0.0,shopify,2,deny,manual,150.00,150.00,true,true,'4849000260863,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/622bb9fe3cd250c22711964b556ca22e.jpg?v=1699722992,7,,,,,,,,,,,,,,,,,kg,,0.00,,,,
rieker-70345-54-olive,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/a1bb2c1b4d8d7e17ec5681ca7ba1e253.jpg?v=1699722992,8,,,,,,,,,,,,,,,,,,,,,,,
rieker-70345-54-olive,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/891e64562a28d45b73b0ca22cf615878.jpg?v=1699722992,9,,,,,,,,,,,,,,,,,,,,,,,
rieker-70345-54-olive,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/54638d133f004adcbe2f905470a86611.jpg?v=1699722992,10,,,,,,,,,,,,,,,,,,,,,,,
rieker-68874-14-marine,Rieker - 68874-14- Marine,"",RIEKER,,"","ATTR_DESC_SOULIER FEMME SANDALE COURROIE BAS, ATTR_KEYWORD_MARINE, ATTR_PROMOTION, ATTR_SEASON_ETE, ATTR_SEASON_ETE 2021, DEPT_SOULIER FEMME, GRANDEUR_42, KEYWORD_MARINE, SUBDEPT_SANDALE COURROIE BAS, VENDOR_RIEKER",true,grandeur,42,KeyWord,MARINE,,,68874.14 -0-0-0,0.0,shopify,1,deny,manual,125.00,125.00,true,true,'4849000183780,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/f762b29ad85d8ec2bb740570d816b8bd.jpg?v=1699488975,1,,false,,,,,,,,,,,,,,,kg,,0.00,true,,,active
rieker-68874-14-marine,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/1840baae74d1423b0c4a58258c48b729.jpg?v=1699488976,2,,,,,,,,,,,,,,,,,,,,,,,
rieker-68874-14-marine,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/a7f8cf1f7be58d94944685c8503de2ca.jpg?v=1699488976,3,,,,,,,,,,,,,,,,,,,,,,,
rieker-68874-14-marine,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/2b4bb46a364355d494aeb7f35e679dbd.jpg?v=1699488976,4,,,,,,,,,,,,,,,,,,,,,,,
rieker-68874-14-marine,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/0f56eaee88aa6d2ce4598d4bb93c12eb.jpg?v=1699488976,5,,,,,,,,,,,,,,,,,,,,,,,
rieker-68874-14-marine,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/362f25dafb4a0a006d0a77936cdf9952.jpg?v=1699488976,6,,,,,,,,,,,,,,,,,,,,,,,
rieker-68874-14-marine,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/86de97882912dba0e135aa200f2be84f.jpg?v=1699488976,7,,,,,,,,,,,,,,,,,,,,,,,
rieker-68874-14-marine,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/ed070308399a4c73a6c3347b44943bbf.jpg?v=1699488976,8,,,,,,,,,,,,,,,,,,,,,,,
rieker-68874-14-marine,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/af3f2a448d415fc3ba3111e92d5c0367.jpg?v=1699488976,9,,,,,,,,,,,,,,,,,,,,,,,
rieker-z1042-00-noir,Rieker - Z1042-00- Noir,"•Pour se promener en toute sécurité Le modèle de botte qui fait sensation de la collection Rieker munie avec une semelle innovante en Fiber-grip offre une adhérence supplémentaire en hiver même sur sol verglacé.
 •Matériel : Cuir
 •Imperméable
 •Doublure: laine d'agneau avec membrane Rieker-Tex
 •Largeur: Largeur normale 
•Matériau semelle: Semelle en caoutchouc EVA
 •Semelle intérieure: amovible, memosoft avec insolant thermique 
•Type de fixation : Fermeture éclair",RIEKER,,"","ATTR_DESC_SOULIER FEMME BOTTE, ATTR_KEYWORD_NOIR, ATTR_PROMOTION, ATTR_SEASON_HIVER, ATTR_SEASON_HIVER 2023, DEPT_SOULIER FEMME, GRANDEUR_36, GRANDEUR_37, GRANDEUR_38, GRANDEUR_39, GRANDEUR_40, GRANDEUR_41, GRANDEUR_42, KEYWORD_NOIR, SUBDEPT_BOTTE, VENDOR_RIEKER",true,grandeur,36,KeyWord,NOIR,,,Z1042.00 -0-0-0,0.0,shopify,2,deny,manual,165.00,165.00,true,true,'4849000260702,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/6c8053adf251199c982b1b4d8e7f561e.jpg?v=1698967048,1,,false,,,,,,,,,,,,,,,kg,,0.00,true,,,active
rieker-z1042-00-noir,,,,,,,,,37,,NOIR,,,Z1042.00 -0-0-0,0.0,shopify,2,deny,manual,165.00,165.00,true,true,'4849000260719,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/beb163988ec499c85cc7d210ee88ea3a.jpg?v=1698967048,2,,,,,,,,,,,,,,,,,kg,,0.00,,,,
rieker-z1042-00-noir,,,,,,,,,38,,NOIR,,,Z1042.00 -0-0-0,0.0,shopify,4,deny,manual,165.00,165.00,true,true,'4849000260726,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/e6c33e4aab4e1632b19a3b08698b3b0b.jpg?v=1698967048,3,,,,,,,,,,,,,,,,,kg,,0.00,,,,
rieker-z1042-00-noir,,,,,,,,,39,,NOIR,,,Z1042.00 -0-0-0,0.0,shopify,3,deny,manual,165.00,165.00,true,true,'4849000260733,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/2ae8279f76dfe86353f0ffcd13f3d54e.jpg?v=1698967048,4,,,,,,,,,,,,,,,,,kg,,0.00,,,,
rieker-z1042-00-noir,,,,,,,,,40,,NOIR,,,Z1042.00 -0-0-0,0.0,shopify,2,deny,manual,165.00,165.00,true,true,'4849000260740,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/bb0e94b61683f19ce0827eaac2761633.jpg?v=1698967048,5,,,,,,,,,,,,,,,,,kg,,0.00,,,,
rieker-z1042-00-noir,,,,,,,,,41,,NOIR,,,Z1042.00 -0-0-0,0.0,shopify,2,deny,manual,165.00,165.00,true,true,'4849000260757,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/12659d08d0f1d9ac754ef63b7e8023e2.jpg?v=1698967048,6,,,,,,,,,,,,,,,,,kg,,0.00,,,,
rieker-z1042-00-noir,,,,,,,,,42,,NOIR,,,Z1042.00 -0-0-0,0.0,shopify,2,deny,manual,165.00,165.00,true,true,'4849000260764,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/d92be0a95e5e42e588bcd927d242b7aa.jpg?v=1698967048,7,,,,,,,,,,,,,,,,,kg,,0.00,,,,
rieker-z1042-00-noir,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/68e5270eba0e3b76bb339cc3e2a37937.jpg?v=1698967048,8,,,,,,,,,,,,,,,,,,,,,,,
rieker-z1042-00-noir,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/51ba82f75d0adda6842bf5fb9929f05c.jpg?v=1698967048,9,,,,,,,,,,,,,,,,,,,,,,,
rieker-z1042-00-noir,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/dbaf29ba2121040404e0f429d68632ee.jpg?v=1698967048,10,,,,,,,,,,,,,,,,,,,,,,,
rieker-z1042-00-noir,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/bf0218864e5678609c0ceb8d8cbf8f78.jpg?v=1698967048,11,,,,,,,,,,,,,,,,,,,,,,,
rieker-z1042-00-noir,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0573/8089/6968/products/8a1382142a99178218be571379fdd43a.jpg?v=1698967048,12,,,,,,,,,,,,,,,,,,,,,,,
